"","X","Tip","Ecto_spp","Genus","Plot","Site","Salix.spp","Ind","abund","mean","Phylum","Order","...1","Ecto_ID","Species","Subspecies","Rhizomorph","Foraging_distance","Accession_No","Notes","Tree_site"
"28",186,505,"Inocybe_lacera_var._lacera","Inocybe",5,"92","BEB","92BEB1",1,-0.4,"Basidiomycota","Agaricales",6,"Inocybe lacera","lacera","lacera","N","short","KT275681.1","97% similar","92BEB"
"29",187,506,"Inocybe_lacera_var._lacera","Inocybe",5,"92","BEB","92BEB1",1,-0.4,"Basidiomycota","Agaricales",6,"Inocybe lacera","lacera","lacera","N","short","KT275681.1","97% similar","92BEB"
"30",188,509,"Laccaria3","Laccaria",5,"92","BEB","92BEB1",1,-0.4,"Basidiomycota","Agaricales",2,"Laccaria pumila","pumila",NA,NA,NA,"KT275627.1","99% similar, also Lactarius obscuratus and Laccaria aff. Montana","92BEB"
"31",189,511,"Inocybe_lacera_var._lacera","Inocybe",5,"92","BEB","92BEB1",1,-0.4,"Basidiomycota","Agaricales",6,"Inocybe lacera","lacera","lacera","N","short","KT275681.1","97% similar","92BEB"
"32",190,514,"Inocybe_lacera_var._lacera","Inocybe",5,"92","BEB","92BEB1",1,-0.4,"Basidiomycota","Agaricales",6,"Inocybe lacera","lacera","lacera","N","short","KT275681.1","97% similar","92BEB"
"33",191,516,"Inocybe_lacera_var._lacera","Inocybe",5,"92","BEB","92BEB1",1,-0.4,"Basidiomycota","Agaricales",6,"Inocybe lacera","lacera","lacera","N","short","KT275681.1","97% similar","92BEB"
"34",199,542,"Entoloma1","Entoloma",8,"18","PET","18PET1",1,-0.1,"Basidiomycota","Agaricales",4,"Entoloma paludicola","paludicola",NA,NA,NA,"KT275678.1","99% similar across 99%","18PET"
"35",200,543,"Entoloma1","Entoloma",8,"18","PET","18PET1",1,-0.1,"Basidiomycota","Agaricales",4,"Entoloma paludicola","paludicola",NA,NA,NA,"KT275678.1","99% similar across 99%","18PET"
"36",215,562,"Hebeloma_cf._atrobrunneum","Hebeloma",8,"18","PET","18PET3",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","18PET"
"37",220,568,"Hebeloma_cf._atrobrunneum","Hebeloma",8,"18","PET","18PET3",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","18PET"
