"","Tip","Ecto_spp","type","trait","Plot","Site","Salix.spp","Ind","Plspp","mean","...1","Ecto_ID","Species","Rhizomorph","Foraging_distance","Genus","em_expl","Ectomycorrhiza_exploration_type_template"
"144",262,"Russula_nigricans","r_true","rhizomorphs",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"145",282,"Russula_nigricans","r_true","rhizomorphs",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"146",283,"Russula_nigricans","r_true","rhizomorphs",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"147",284,"Russula_nigricans","r_true","rhizomorphs",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"148",285,"Russula_nigricans","r_true","rhizomorphs",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"149",286,"Russula_nigricans","r_true","rhizomorphs",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"150",288,"Russula_nigricans","r_true","rhizomorphs",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"151",289,"Russula_nigricans","r_true","rhizomorphs",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"152",290,"Russula_nigricans","r_true","rhizomorphs",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"153",291,"Russula_nigricans","r_true","rhizomorphs",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"154",292,"Russula_nigricans","r_true","rhizomorphs",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"155",1224,"Russula_emetica","r_false","rhizomorphs",1,"AS1","HUM","AS1HUM3","AS1HUM",-1.3,47,"Russula emetica","emetica","N","contact","Russula",NA,"contact"
"156",919,"Cadophora_finlandica",NA,NA,7,"34","CAN","34CAN3","34CAN",-0.1,19,"Cadophora finlandica","finlandica",NA,NA,"Cadophora",NA,NA
