"","Tip","Ecto_spp","type","trait","Plot","Site","Salix.spp","Ind","Plspp","mean","...1","Ecto_ID","Species","Rhizomorph","Foraging_distance","Genus","em_expl","Ectomycorrhiza_exploration_type_template"
"33",1220,"Cenococcum_geophilum","short","exploration_type",1,"AS1","HUM","AS1HUM3","AS1HUM",-1.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"34",1225,"Cenococcum_geophilum","short","exploration_type",1,"AS1","HUM","AS1HUM3","AS1HUM",-1.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"35",1227,"Cenococcum_geophilum","short","exploration_type",1,"AS1","HUM","AS1HUM3","AS1HUM",-1.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"36",1354,"Cenococcum_geophilum","short","exploration_type",3,"AS3","PET","AS3PET2","AS3PET",-0.9,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"37",1359,"Cenococcum_geophilum","short","exploration_type",3,"AS3","PET","AS3PET2","AS3PET",-0.9,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"38",518,"Tuber3","short","exploration_type",5,"92","BEB","92BEB2","92BEB",-0.4,29,"Tuber separans","separans",NA,NA,"Tuber",NA,"short-distance_delicate"
"39",1351,"Tuber3","short","exploration_type",3,"AS3","PET","AS3PET2","AS3PET",-0.9,29,"Tuber separans","separans",NA,NA,"Tuber",NA,"short-distance_delicate"
"40",1355,"Tuber3","short","exploration_type",3,"AS3","PET","AS3PET2","AS3PET",-0.9,29,"Tuber separans","separans",NA,NA,"Tuber",NA,"short-distance_delicate"
"41",1356,"Tuber3","short","exploration_type",3,"AS3","PET","AS3PET2","AS3PET",-0.9,29,"Tuber separans","separans",NA,NA,"Tuber",NA,"short-distance_delicate"
"42",194,"Russula_nigricans","contact","exploration_type",2,"10","PET","10PET1","10PET",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"43",195,"Russula_nigricans","contact","exploration_type",2,"10","PET","10PET1","10PET",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"44",197,"Russula_nigricans","contact","exploration_type",2,"10","PET","10PET1","10PET",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"45",198,"Russula_nigricans","contact","exploration_type",2,"10","PET","10PET1","10PET",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"46",254,"Russula_nigricans","contact","exploration_type",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"47",255,"Russula_nigricans","contact","exploration_type",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"48",256,"Russula_nigricans","contact","exploration_type",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"49",257,"Russula_nigricans","contact","exploration_type",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"50",259,"Russula_nigricans","contact","exploration_type",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"51",260,"Russula_nigricans","contact","exploration_type",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"52",261,"Russula_nigricans","contact","exploration_type",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"53",262,"Russula_nigricans","contact","exploration_type",2,"10","DIS","10DIS3","10DIS",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"54",282,"Russula_nigricans","contact","exploration_type",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
"55",283,"Russula_nigricans","contact","exploration_type",2,"10","HUM","10HUM2","10HUM",-1,42,"Russula nigricans","nigricans","Y","medium","Russula",NA,"contact"
