,Tip,Ecto_spp,Genus,Plot,Site,Salix.spp,Ind,abund,Plspp,mean,Phylum,Order
289,658,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
291,660,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
292,662,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
293,665,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
294,666,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
302,679,Cortinarius1,Cortinarius,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
304,681,Cortinarius1,Cortinarius,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
305,682,Cortinarius1,Cortinarius,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
307,684,Cortinarius1,Cortinarius,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
308,685,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
310,687,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
311,688,Cortinarius1,Cortinarius,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
312,689,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
342,725,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,CAN,19CAN1,1,19CAN,-0.1,Basidiomycota,Agaricales
357,755,Inocybe_glabrescens,Inocybe,9,40,BEB,40BEB3,1,40BEB,-0.1,Basidiomycota,Agaricales
358,756,Inocybe_glabrescens,Inocybe,9,40,BEB,40BEB3,1,40BEB,-0.1,Basidiomycota,Agaricales
360,758,Inocybe_glabrescens,Inocybe,9,40,BEB,40BEB3,1,40BEB,-0.1,Basidiomycota,Agaricales
361,759,Inocybe_glabrescens,Inocybe,9,40,BEB,40BEB3,1,40BEB,-0.1,Basidiomycota,Agaricales
362,760,Inocybe_glabrescens,Inocybe,9,40,BEB,40BEB3,1,40BEB,-0.1,Basidiomycota,Agaricales
377,779,Laccaria_laccata,Laccaria,9,40,DIS,40DIS1,1,40DIS,-0.1,Basidiomycota,Agaricales
390,800,Laccaria_laccata,Laccaria,9,40,PET,40PET2,1,40PET,-0.1,Basidiomycota,Agaricales
412,864,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,PET,34PET1,1,34PET,-0.1,Basidiomycota,Agaricales
413,865,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,PET,34PET1,1,34PET,-0.1,Basidiomycota,Agaricales
414,866,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,PET,34PET1,1,34PET,-0.1,Basidiomycota,Agaricales
415,867,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,PET,34PET1,1,34PET,-0.1,Basidiomycota,Agaricales
428,883,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,SER,34SER2,1,34SER,-0.1,Basidiomycota,Agaricales
439,894,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,SER,34SER2,1,34SER,-0.1,Basidiomycota,Agaricales
450,907,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,PET,34PET3,1,34PET,-0.1,Basidiomycota,Agaricales
451,908,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,PET,34PET3,1,34PET,-0.1,Basidiomycota,Agaricales
452,910,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,PET,34PET3,1,34PET,-0.1,Basidiomycota,Agaricales
453,912,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,PET,34PET3,1,34PET,-0.1,Basidiomycota,Agaricales
460,921,Inocybe_lacera_var._lacera,Inocybe,7,34,CAN,34CAN3,1,34CAN,-0.1,Basidiomycota,Agaricales
464,926,Inocybe_lacera_var._lacera,Inocybe,7,34,CAN,34CAN3,1,34CAN,-0.1,Basidiomycota,Agaricales
465,927,Inocybe_lacera_var._lacera,Inocybe,7,34,CAN,34CAN3,1,34CAN,-0.1,Basidiomycota,Agaricales
474,945,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,PET,34PET2,1,34PET,-0.1,Basidiomycota,Agaricales
480,953,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,PET,34PET2,1,34PET,-0.1,Basidiomycota,Agaricales
481,954,Hebeloma_cf._atrobrunneum,Hebeloma,7,34,PET,34PET2,1,34PET,-0.1,Basidiomycota,Agaricales
515,1030,Cortinarius3,Cortinarius,12,49,DIS,49DIS1,1,49DIS,0.1,Basidiomycota,Agaricales
516,1031,Cortinarius3,Cortinarius,12,49,DIS,49DIS1,1,49DIS,0.1,Basidiomycota,Agaricales
