"","site","tree","enviro","OTU_716","OTU_2328","OTU_120","OTU_253","OTU_2287","OTU_1048","OTU_1034","OTU_473","OTU_734","OTU_429","OTU_217","OTU_1267","OTU_1575","OTU_160","OTU_2715","OTU_1955","OTU_467","OTU_306","OTU_2364","OTU_1965","OTU_1705","OTU_1604","OTU_1726","OTU_2896","OTU_2745","OTU_1166","OTU_991","OTU_830","OTU_325","OTU_860","OTU_2594","OTU_1164","OTU_623","OTU_1165","OTU_565","OTU_200","OTU_2498","OTU_909","OTU_1513","OTU_288","OTU_1266","OTU_1140","OTU_522","OTU_482","OTU_1337","OTU_318","OTU_188","OTU_289","OTU_784","OTU_1227","OTU_672","OTU_879","OTU_459","OTU_762","OTU_1298","OTU_2216","OTU_1474","OTU_1224","OTU_1338","OTU_2641","OTU_156","OTU_1446","OTU_1967","OTU_1951","OTU_2548","OTU_981","OTU_376","OTU_1303","OTU_1262","OTU_1138","OTU_2332","OTU_2223","OTU_1239","OTU_1542","OTU_2727","OTU_1586","OTU_926","OTU_2133","OTU_2898","OTU_2373","OTU_2150","OTU_2341","OTU_1717","OTU_983","OTU_2412","OTU_155","OTU_2314","OTU_1226","OTU_1551","OTU_1547","OTU_870","OTU_1572","OTU_2588","OTU_1727","OTU_1767","OTU_2551","OTU_2849","OTU_1328","OTU_2041","OTU_2161","OTU_861","OTU_1145","OTU_1079","OTU_580","OTU_2485","OTU_1451","OTU_2788","OTU_1746","OTU_574","OTU_1028","OTU_1708","OTU_1778","OTU_1954","OTU_1526","OTU_1546","OTU_2059","OTU_2262"
"11","tejon","ARCO21","arid",0,0,0,6.880969,0,5.954065,0,2.937956,0,0,1.343506,4.163048,2.350628,10.00226,1.343506,0,5.057066,0,0.5969901,0,0,0,0,0,0,0,0,0.5969901,4.649053,0,1.343506,0.5969901,2.197835,0,0,4.460406,0,3.6178,0,5.427262,1.343506,0,1.343506,1.343506,0,0,5.338672,0.5969901,1.833007,0,0,0,1.343506,1.608918,4.391613,0,2.488777,1.018004,1.608918,0,10.21068,2.488777,0,2.614846,0,3.788053,7.175087,3.279988,2.350628,0,0,0,2.026923,0,0,0,0,0,0,0,0,0,0,1.608918,0,0,0,0,0,0,1.018004,0,0,0,0,0,0,2.614846,0,0,4.81586,0,0,1.018004,0,3.676812,0,0,0,0,0,0,0,0,0,0,0
"12","tejon","ARCO22","arid",1.192413,0,0,3.651697,0.7160458,3.651697,0,2.074974,0,0,1.549926,0,0,7.436599,0.7160458,0,2.279781,5.396814,0,0,0,0,0,0,0,6.124454,0,0,6.817945,0,0,1.836205,1.192413,0,0,2.074974,0.7160458,0.7160458,0,3.857597,2.279781,4.554194,0,0,0,3.321557,3.857597,0,0,0,0,0,8.421654,4.342,0,0,0,0.7160458,0,0,1.549926,2.618565,0,0.7160458,0.7160458,1.549926,6.334345,1.192413,0,0,0,0,0,0,0,0.7160458,0,0,1.549926,0,0,2.279781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7160458,0,0,5.105134,0,1.836205,0.7160458,0,0,2.459094,0,0,0,0,0,0,0,0,0,0
"13","tejon","ARCO23","arid",0,0,0,2.793314,0,1.43024,0,0,0,0,0,0,0,2.134165,0,0,3.481492,4.165844,0,0,0,0,0,0,0,0,0,4.096067,6.104266,0,2.605197,0,0,4.471606,0,0,0.8855413,1.43024,0,1.43024,0.8855413,0,1.43024,0,0,0,0.8855413,0,0,0,0,0,1.43024,2.38882,0.8855413,0,0,0,0,0,0,3.367655,0,2.38882,0,0,0,0,0,0,0,0,0,6.207138,0,0,0,0,2.38882,0,0,0,0,3.108879,0,0,0,0,0,2.134165,0,0,0,0,0,0,0,1.824716,0,0,0,0,0,8.150005,0,0.8855413,0,0,0,0,0,0,0,0,0,0,0
"14","tejon","ARCO24","arid",0,0,0,7.396788,0,5.610678,0,3.956978,0,0,0,0,0,1.833539,0.8911865,0,5.843237,0.8911865,0,0,0,0,0,0.8911865,0,0,0,0,5.47864,0,1.833539,1.437974,0,0,0,9.751015,0,0,0,0.8911865,0,0,2.615465,0,0,0,0.8911865,2.143656,0,0.8911865,0,0,0.8911865,4.244028,5.101538,0,3.788739,1.833539,0.8911865,0,0,0,0,3.119739,0,1.833539,7.258677,0,0,0,0,0,0,2.615465,0,0,0,2.615465,0,0,2.143656,0,0,0,0,0,0,0,0,1.833539,0,0,0,0,0,0,0,0,0,2.803828,0,0,0,0.8911865,0,0,0,1.437974,6.168726,0.8911865,0,0,0,0,0,0,0
"15","tejon","ARTE01L","arid",2.683686,0,0,8.06218,2.058163,5.233368,0,5.799648,0,6.095077,3.951079,0,0,2.464876,3.723138,3.261457,7.177532,0,4.110602,1.892382,0,0,0,0,3.908281,0,0,0,3.191789,1.236486,0,0,3.510687,0,3.510687,7.108316,2.683686,2.781787,0,7.812366,0,0,6.085505,7.826801,0,0,5.106595,7.314949,0,0,0,0,0,5.612365,0.5381205,0.5381205,0,0,0.5381205,0,0,0.5381205,0,0.9291541,0,1.705048,5.301103,0,0,0,0,0,1.236486,0,0,6.104587,0,0.5381205,0.5381205,0.5381205,0.5381205,0,1.236486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.147872,0.9291541,0,0,0,0
"16","tejon","MECE02","mesic",0,0,0,0,0,0,0,0,0,0,0,0,2.730987,2.730987,0,0,0,0,0,0,7.54759,2.730987,0,0,0,0,1.525918,0,8.382437,0,2.250779,0,0,1.525918,0,0,0,1.525918,0,0,0,0,0,0,0,1.525918,6.806095,0,0,3.618027,0,0,0,0,0,6.020364,0,0,3.378303,0,0,1.525918,0,0,0,0,0,0,0,0,0,0,4.668805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09065,0,0,0,0,0,0,0,0,1.525918,0,0,2.250779,0,0,0,0,0,0,0,6.756795,0,0,0,0,0,0,0
"17","tejon","MECE03A","mesic",0,0,0,0,0,0,0,0,0,0,0,0,5.40918,0,0,0,0,0,0,0,0,0,0,0,0,8.742767,0,0,6.591495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.383489,0,0,0,0,0,0,0,0,5.543593,0,0,0,0,0,2.364398,0,0,0,0,0,0,0,0,0,0,5.260944,0,7.018264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.364398,0,5.666544,0,0,0,0,0,0,0,5.884873,0,0,0,0,0,0,0
"18","tejon","MECE04B","mesic",0,0,0,0,0,0,0,0,0,0,0,0,1.681452,0,0,0,0,1.681452,0,0,4.383189,1.681452,0,0,0,0,0,0,5.565525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.383189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.867776,0,0,0,0,0,0,0,3.832387,0,0,0,0,0,0,0,0,1.681452,0,0,0,0,0,0,0,0,2.930267,2.930267,0,0,0,0,0,0,0,0,0,2.436964,1.681452,0,0,0,0,0,0
"19","tejon","MECE05","mesic",0,0,0,0,0,0,0,0,0,0,0,0,2.631059,0,0,0,0,3.806016,0,0,2.631059,1.846956,0,0,0,6.601457,2.631059,0,6.943428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.631059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.136225,0,6.881213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.194309,0,0,0,0,0,0,0,0,1.846956,0,0,0,0,0,0,0,0,0,0,3.136225,0,0,0,3.136225,0,0,0
"20","tejon","MECE07B","mesic",0,0,0,0,0,0,0,0,0,0,0,0,2.600101,0,0,0,0,1.820341,0,0,0,1.820341,0,0,0,0,0,0,4.717893,0,0,0,0,0,0,0,0,9.130554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.820341,0,0,0,0,0,0,0,0,0,0,0,1.820341,0,4.717893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.820341,0,0,0,0,0,0,0,2.600101,0,0,0,2.600101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","tejon","MECO01A","mesic",0,0,0,0,0,0,0,0,0,0,1.914596,0,1.914596,3.594588,0,0,0,1.914596,0,0,3.21882,0,0,0,0,5.209885,0,0,5.209885,0,0,0,0,0,0,0,0,2.709327,0,1.914596,0,0,0,0,0,1.914596,0,0,0,0,0,1.914596,0,0,0,0,0,0,0,0,0,1.914596,0,0,0,0,0,0,0,0,0,0,6.654249,0,12.51389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","tejon","MECO03B","mesic",0,0,0,0,0,0,0,0,0,0,3.592391,0,2.439564,3.300059,3.592391,0,0,0,0,0,4.663133,0,2.439564,0,0,0,3.835352,0,9.006394,0,0,0,0,0,0,0,0,4.224898,0,0,0,0,0,0,0,0,1.683647,0,4.531312,0,0,1.683647,0,0,0,0,0,0,0,0,0,1.683647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.439564,0,0,0,0,0,0,0,0,2.439564,0,0,0,0,0,0,0,2.439564,0,0,0,1.683647,0,0,0,2.933038,0,0,0,4.043233,7.945884,0,0,0,0,0,0
"23","tejon","MECO06","mesic",0,0,0,1.358928,0,3.377078,0,0,0,0,0,0,5.486021,3.756976,0,0,0,0,0,0,3.377078,8.069346,0,0,0,0,0,0,7.596102,0,0,0,0,0,0,0,0,3.377078,0,0,0,0,4.786809,0,0,0,1.358928,0,0,0,0,0,0,0,0,8.243338,0,0,1.358928,1.358928,0,0,0,0,0,0,0,0,0,0,0,0,6.279514,0,4.305923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.209209,0,0,0,0,0,0,0,0,0,0,0,5.990905,0,0,0,0,0,0,0,3.141552,0,0,0,0,0,0,0
"24","tejon","MECO07","mesic",0,0,0,0,0,0,0,0,0,4.816686,0,0,5.54781,0,0,0,0,0,0,0,5.143016,5.143016,0,0,0,0,0,0,7.844853,0,1.949061,0,0,0,0,0,3.794472,1.281321,0,0,0,0,0,0,0,11.54847,5.932766,0,1.281321,0,0,1.281321,0,0,0,5.898577,0,0,0,0,11.95111,1.281321,1.281321,0,0,0,0,0,0,0,0,0,0,0,2.403771,0,0,0,0,0,3.260581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.949061,1.281321,0,1.949061,0,0,0,0,0,0,0,2.403771,0,0,0,1.281321,0,0,0
"25","tejon","MECO08A","mesic",0,0,0,0,0,0,0,0,0,0,0,0,3.09065,0,0,0,0,1.809935,0,0,4.558047,5.745011,1.809935,0,0,0,0,0,7.311928,0,1.809935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.069593,0,0,0,0,3.09065,1.809935,0,0,3.462715,0,0,3.09065,0,0,1.809935,0,0,0,0,0,0,0,0,0,0,1.809935,0,2.587973,0,0,0,0,0,3.09065,0,0,0,0,0,0,0,0,8.660027,0,0,0,0,0,0,0,0,0,1.809935,0,1.809935,0,0,0,0,0,10.96289,0,5.527095,3.462715,0,0,5.873914,0,0,0
"26","tejon","METE01","mesic",0,0,0,0,0,0,0,0,0,0,0,0,6.808785,3.910261,0,0,1.739494,3.666291,0,0,4.861468,7.555621,0,0,0,1.117423,2.172735,0,8.473243,0,7.932362,0,0,1.117423,0,0,0,2.505475,0,0,0,0,0,0,0,0,7.573448,0,0,7.70865,0,6.24515,2.775673,0,0,2.775673,0,0,3.666291,0,0,0,0,0,0,0,0,0,0,0,0,0,3.199615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.117423,4.018338,5.578444,0,1.117423,0,0,0,1.739494,0,0,0,10.33303,3.199615,0,0,0,0,0,0
"27","tejon","METE02","mesic",0,0,0,0,0,0,0,0,0,0,0,0,5.460391,0,0,0,0,2.623752,0,0,0,9.281565,0,0,0,0,5.146631,0,7.406628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.852603,0,2.979052,0,0,0,6.415105,0,0,5.717954,0,6.053209,0,2.623752,0,0,0,0,0,0,0,0,2.15132,8.046246,0,0,0,0,0,0,0,0,0,0,0,0,2.15132,0,0,0,0,0,1.444227,0,0,1.444227,0,0,0,0,0,0,0,0,0,0,2.15132,0,0,0,9.924427,0,0,0,0,0,0,0
"28","tejon","METE04","mesic",0,0,0,0,0,0,0,0,0,0,0,0,3.142052,0,0,0,0,3.87761,0,0,0,8.040185,0,0,0,0,3.87761,0,4.362433,0,1.564108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00227,0,2.296867,0,0,0,3.430919,0,0,2.780487,0,2.780487,0,0,0,0,0,0,0,0,0,0,1.564108,6.598282,0,6.476748,0,0,0,0,0,0,1.564108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.296867,0,0,0,3.671484,0,0,0,1.564108,0,0,0
"29","tejon","METE05","mesic",0,0,0,0,0,0,0,0,0,0,0,0,5.168097,0,0,0,0,2.474896,0,0,3.104133,11.42055,0,0,0,0,3.338929,0,9.02867,0,0,0,0,1.333285,0,0,0,0,0,0,0,0,0,0,0,0,5.040669,0,0,0,0,1.333285,0,1.333285,0,8.068656,0,0,2.014182,0,5.227824,0,0,0,0,0,0,0,0,0,0,0,5.340337,0,7.848518,0,0,0,0,0,2.014182,0,0,0,0,0,0,0,0,2.014182,0,0,0,0,0,0,0,0,0,0,0,1.333285,0,0,0,0,0,0,0,4.147089,0,0,0,1.333285,0,0,0
"30","tejon","METE06","mesic",0,0,0,0,0,0,0,0,0,0,0,0,0,3.295479,0,0,0,4.778998,0,0,4.220073,2.653291,1.466585,0,0,2.178663,0,0,9.517517,0,0,0,0,0,0,0,0,0,0,1.466585,0,0,0,0,0,0,7.484867,0,0,0,0,0,0,0,0,2.178663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.295479,0,8.043227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.178663,2.178663,0,1.466585,0,0,0,0,0,0,0,5.314722,2.653291,0,0,0,0,0,0
